id;review
30;"товар так и не пришел. раза три продлевали срок доставки. очень обидно. я ждала эту рубашку, продавец общительный, но толку от этого нет(((очень обидно."
31;К качеству товара претензии нет. швы ровные,нитки не торчат. единственное резинка не зафиксирована. материал синтетика.ставлю 3 потому ,что отвратительно сидят на фигуре. сзади все морщится. на улицу в них не выйду ,остаётся носить дома((( жаль
32;Если вы ищите платье для дома/халат/платье, в котором можно смело выбрасывать мусор и ходить в ближайший магнит или пятёрочку,   то вы на правильном пути) ткань ГАМНО)
33;Дошёл быстро, но не оправдал ожиданий) 
34;Продавец указывает, что размер один! Но увы! Судя по отзывам я боялась, что придёт мальковом размера. Я ростом 170, размер s/m, она мне маленькая в подмышках! 
35;все понравилось
36;очень маленькая.больше на ребёнка лет 11 подойдет
37;Пижама очень понравилась. Даже захотелось в другом цвете заказать. Доставка долгая была( 
38;Куртка понравилась, хорошее качество. Только на фото больше похоже на пальто, а получается удлиненная куртка. Доставка через СДЕК, пришлось к ним идти.
39;шло очень долго.я уже потеряла заказ.. но юбка хорошая.
40;"there were dirty spots on the pants, which still left after washing it up."
41;Замечательный костюм. На 96-70-96 сел хорошо - свитер свободненько, штаны в самый раз (верх но 46 размер, низ 44-42). Шнурок на брюках держит так себе - вставлю резинку, думаю с временем брюки вытянутся. По ощущениям в составе есть шерсть, ну и разумеется, акрил. Костюм теплый, выглядит прилично. Понравился очень. Шел до Екб неделю, доставка до двери. Магазин супер, беру здесь не первую вещь - все качественно и быстро. Спасибо. Рекомендую. 5+++++
42;одна из моих самых неудачных покупок. на мой 44 XL оказался мал, талия высоко и слишком сдавливает в груди. Еле втиснулась в платье, и с трудом из него вылезла. но это ладно. Качество не очень - торчат нитки, много затяжек, брошь вообще сломалась сразу же.
43;низ не окантован. по всем швам торчат нитки.
44;сильно большая
45;S  оказался полноценным L. при том что продавец хороший ,магазин зарекомендовавший себя, как так вышло . кроме огромного размера, была дырка на шортах и очень очень криво пришито кружево на груди . в общем пришлось исправлять и ушивать . отдать не маленькие  деньги и получить не годный  товар-очень плохо.
46;Не стоит своих денег абсолютно ,швы неровные,ткань тонюсенькая.Я ожидала лучшего качества.цвет не соответствует картинке,в реальности грязно серый какой то.
47;хорошое качество. xxl примерно на размер 42-44. соответствует описанию.
48;взяла две футболки, серую и белую. Серая соответствует описанию, претензий нет, но вот белая... хлопка я там не нашла. Сильно расстроилась, т.к. даже на ощупь футболки разные. Белая - мяконькая такая сопелька синтетическая. Думаю, к телу, конечно, приятная первые пять минут, но потом или вспотеешь, если теплый день, или замерзнешь. После носки дополню отзыв.
49;Юбка сшита качественно, но на объем бедер 108 юбка немного морщинит
50;"Носочки в принципе не плохие, приятные на ощупь, только в отзывах видела, как на 38 р натягивали..., видимо разные цвета все разного размера, потому что мои носки на мой 35 р можно сказать впритык. Ещё носки с симметричным рисунком, но одна пара розового цвета пришла с носками на одну ногу;)) ну да ладно)) доставка достаточно быстрая, меньше месяца;)"
